"sim","method","n.dims","err","CV","Pi","Alt"
127,"PCA-LDA",34,0.025551264320107,3,1,5
128,"CCA-LDA",28,0.0554756802152434,3,1,5
128,"PCA-LDA",31,0.0210819797478877,3,1,5
129,"CCA-LDA",28,0.0194948597664966,3,1,5
129,"PCA-LDA",37,0.0165832158532258,3,1,5
13,"CCA-LDA",35,0.0299173248142847,3,1,5
13,"PCA-LDA",32,0.0576037248450467,3,1,5
130,"CCA-LDA",34,0.0208255963853182,3,1,5
130,"PCA-LDA",35,0.0824155682082622,3,1,5
131,"CCA-LDA",33,0.133450276394637,3,1,5
131,"PCA-LDA",35,0.0470693982103306,3,1,5
132,"CCA-LDA",35,0.0414261276459894,3,1,5
132,"PCA-LDA",30,0.059015709883684,3,1,5
133,"CCA-LDA",13,0.0817493514530047,3,1,5
133,"PCA-LDA",36,0.00259579708580058,3,1,5
134,"CCA-LDA",27,0.028725777892574,3,1,5
134,"PCA-LDA",37,0.000469211931967969,3,1,5
135,"CCA-LDA",39,0.0263159155616808,3,1,5
135,"PCA-LDA",39,6.97215071086855e-05,3,1,5
136,"CCA-LDA",20,0.0810720894814156,3,1,5
136,"PCA-LDA",26,0.112384828948919,3,1,5
137,"CCA-LDA",31,0.0224885686187179,3,1,5
137,"PCA-LDA",39,0.0521099857003292,3,1,5
138,"CCA-LDA",37,0.0137386820828632,3,1,5
138,"PCA-LDA",36,0.0371511387836993,3,1,5
139,"CCA-LDA",33,0.0136739541697686,3,1,5
139,"PCA-LDA",39,0.0137614315101192,3,1,5
14,"CCA-LDA",39,0.0132050975712965,3,1,5
14,"PCA-LDA",38,0.0707141539084929,3,1,5
140,"CCA-LDA",37,0.028149274606765,3,1,5
